state,bill_number,title,description,dem_sponsors,rep_sponsors,session_start,session_end,last_action_date,last_action,completed
AK,SB112,Digital Product Repair,"An Act relating to the diagnosis, maintenance, and repair of products that use digital electronics to operate; adding an unlawful act to the Alaska Unfair Trade Practices and Consumer Protection Act; and providing for an effective date.",2,2,2023,2024,2023-03-24,"COSPONSOR(S): GIESSEL, BJORKMAN, GRAY-JACKSON",0
AK,SB111,Digital Product Repair,"An Act relating to the diagnosis, maintenance, and repair of products that use digital electronics to operate; adding an unlawful act to the Alaska Unfair Trade Practices and Consumer Protection Act; and providing for an effective date.",1,0,2025,2026,2025-04-09,REFERRED TO LABOR & COMMERCE,0
AL,HR7,"Permanency for children in foster care, encouraged","Permanency for children in foster care, encouraged",0,1,2020,2020,2020-02-25,Jones (M) motion to Adopt adopted Voice Vote,0
AL,HB261,"Right to repair agricultural equipment,   equipment manufacturers to make documentation, software and other components available to equipment owners and independent service providers at fair and reasonable terms, trade secrets excepted.","Right to repair agricultural equipment,   equipment manufacturers to make documentation, software and other components available to equipment owners and independent service providers at fair and reasonable terms, trade secrets excepted.",1,0,2024,2024,2024-02-29,Re-referred to Committee in House of Origin to House Agriculture and Forestry,0
AL,HB75,Wheelchairs; establishing requirements for repair,Wheelchairs; establishing requirements for repair,1,0,2025,2025,2025-02-04,Pending House State Government,0
AL,HB476,Consumer protection; electronics manufacturers required to allow repair of goods; civil penalties for violations,Consumer protection; electronics manufacturers required to allow repair of goods; civil penalties for violations,1,0,2025,2025,2025-03-20,Pending House Judiciary,0
AR,SB461,To Establish The Farmers Right To Repair Act; And To Require An Original Manufacturer To Provide Essential Information To Farmers To Repair Farm Equipment.,To Establish The Farmers Right To Repair Act; And To Require An Original Manufacturer To Provide Essential Information To Farmers To Repair Farm Equipment.,0,1,2021,2021,2021-10-15,Sine Die adjournment,1
AR,HB1852,To Establish A Right To Repair For Certain Agricultural Equipment.,To Establish A Right To Repair For Certain Agricultural Equipment.,0,2,2025,2025,2025-05-05,Died in Senate Committee at Sine Die adjournment.,1
AZ,SB1536,Electronic and appliance products; repairs,Electronic and appliance products; repairs,4,0,2024,2024,2024-02-06,Senate read second time,0
CA,AB2110,Electronics: Right to Repair Act.,"An act to amend and renumber the heading of Chapter 8.6 (commencing with Section 42490) of, and to add Chapter 8.6 (commencing with Section 42488) to, Part 3 of Division 30 of the Public Resources Code, relating to public resources.",1,0,2017,2018,2018-04-17,"In committee: Set, first hearing. Hearing canceled at the request of author.",0
